Mycoplasma pneumoniae macrolide sensitive	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasma pneumoniae;d:Macrolide sensitive
Non-human adenovirus	Not found
Non-human bocavirus	Not found
Non-human enterovirus	Not found
Non-human streptococcus	Not found
Parechovirus A	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Parechovirus;s:Parechovirus A
Positive control A. baumannii	Not found
Positive control Bordetella-1	Not found
Positive control Bordetella-2	Not found
Positive control Chlamydia	Not found
Positive control FluC	Not found
Positive control GBS	Not found
Positive control H1-275-oseltamivir	Not found
Positive control H3-119-oseltamivir	Not found
Positive control H3-292-oseltamivir	Not found
Positive control H5-275-oseltamivir	Not found
Positive control HBoV	Not found
Positive control HCoV-1	Not found
Positive control HCoV-2	Not found
Positive control HPEV	Not found
Positive control HPIV1	Not found
Positive control HPIV2	Not found
Positive control HPIV3	Not found
Positive control HPIV4	Not found
Positive control Human Metapneumovirus	Not found
Positive control K. pneumoniae	Not found
Positive control L. pneumophila sg1	Not found
Positive control M. catarrhalis	Not found
Positive control M. pneumoniae - macrolide resistance	Not found
Positive control M. pneumoniae - P1 typing	Not found
Positive control P. aeruginosa	Not found
Positive control Pan-ADEV	Not found
Positive control Pan-FluA	Not found
Positive control Pan-FluB-2	Not found
Positive control Pan-H. influenzae	Not found
Positive control Pan-Legionella	Not found
Positive control RHIV/ENTV	Not found
Positive control RNaseP (human)	Not found
Positive control RSV	Not found
Positive control S. aureus	Not found
Positive control Strep	Not found
Pseudomonas aeruginosa	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Pseudomonadaceae;g:Pseudomonas;s:Pseudomonas aeruginosa
Respiratory syncytial virus	sk:Viruses;p:Negarnaviricota;c:Monjiviricetes;o:Mononegavirales;f:Pneumoviridae;s:Respiratory syncytial virus
Rhinovirus	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus;s:Rhinovirus
Rhinovirus A	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus;s:Rhinovirus A
Rhinovirus B	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus;s:Rhinovirus B
Rhinovirus C	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus;s:Rhinovirus C
SARS	sk:Viruses;o:Nidovirales;f:Coronaviridae;g:Betacoronavirus;s:Severe acute respiratory syndrome-related coronavirus
Staphylococcus aureus	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae;g:Staphylococcus;s:Staphylococcus aureus
Streptococcus acidominimus	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus acidominimus
Streptococcus agalactiae	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus agalactiae
Streptococcus anginosus	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus anginosus
Streptococcus australis	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus australis
Streptococcus canis	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus canis
Streptococcus constellatus	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus constellatus
Streptococcus criceti	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus criceti
Streptococcus cristatus	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus cristatus
Streptococcus dysgalactiae	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus dysgalactiae
Streptococcus equinus	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus equinus
Streptococcus ferus	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus ferus
Streptococcus gallolyticus	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus gallolyticus
Streptococcus gordonii	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus gordonii
Streptococcus halotolerans	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus halotolerans
Streptococcus himalayensis	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus himalayensis
Streptococcus infantarius	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus infantarius
Streptococcus iniae	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus iniae
Streptococcus intermedius	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus intermedius
Streptococcus lutetiensis	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus lutetiensis
Streptococcus macedonicus	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus macedonicus
Streptococcus marmotae	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus marmotae
